Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Spd (km/h),Stn Press (kPa),Visibility (km),Weather
0.2,-2.3,83.0,0.0,24.0,101.26,3.2,1
-0.2,-0.9,95.0,0.0,26.0,101.03,1.2,1
0.0,-0.7,95.0,0.0,28.0,100.85,4.0,1
0.9,0.0,94.0,0.0,26.0,100.74,8.1,2
1.1,0.2,94.0,1.2,24.0,100.59,8.1,3
1.4,0.7,95.0,1.2,21.0,100.46,8.1,2
1.7,1.0,95.0,1.0,22.0,100.35,6.4,2
2.0,1.3,95.0,0.8,21.0,100.28,8.1,2
2.1,1.7,97.0,0.5,17.0,100.18,4.8,2
2.1,1.8,98.0,0.5,18.0,100.1,2.0,2
2.2,1.9,98.0,0.2,21.0,99.97,2.0,2
2.5,2.2,98.0,0.5,22.0,99.88,3.2,3
2.8,2.5,98.0,0.2,13.0,99.8,2.0,2
3.0,2.7,98.0,0.2,9.0,99.77,2.0,3
2.7,2.6,99.0,0.0,13.0,99.69,1.6,2
2.9,2.8,99.0,0.2,13.0,99.54,1.6,2
2.6,2.5,99.0,0.2,0.0,99.45,1.2,2
2.6,2.5,99.0,0.0,9.0,99.33,9.7,2
2.6,2.5,99.0,0.2,5.0,99.33,4.0,2
2.7,2.6,99.0,0.2,5.0,99.19,6.4,2
2.6,2.5,99.0,0.2,4.0,99.17,6.4,2
3.0,2.9,99.0,0.0,4.0,99.08,6.4,2
2.7,2.4,98.0,0.2,11.0,99.17,4.0,2
2.9,2.5,97.0,0.2,17.0,99.05,6.4,3
4.7,4.1,96.0,0.0,43.0,99.05,16.1,0
4.5,1.9,83.0,0.2,41.0,99.17,16.1,0
3.8,1.4,84.0,0.0,32.0,99.29,16.1,0
3.5,0.7,82.0,0.2,30.0,99.42,16.1,0
3.0,-0.5,78.0,0.0,32.0,99.6,16.1,0
2.1,-1.9,75.0,0.0,32.0,99.72,16.1,0
0.1,-1.2,91.0,0.0,28.0,99.91,2.4,1
0.1,-1.4,90.0,0.0,17.0,100.0,16.1,1
0.4,-2.3,82.0,0.2,24.0,100.05,16.1,0
-1.6,-5.8,73.0,0.0,30.0,100.19,16.1,0
-3.1,-8.0,69.0,0.0,41.0,100.31,16.1,0
-4.0,-8.4,72.0,0.0,37.0,100.46,16.1,0
-4.7,-10.1,66.0,0.0,41.0,100.59,16.1,0
-5.2,-11.0,64.0,0.0,43.0,100.74,16.1,0
-5.4,-11.7,61.0,0.0,39.0,100.9,16.1,0
-6.4,-9.9,76.0,0.0,46.0,100.97,9.7,1
-7.2,-11.2,73.0,0.0,43.0,101.11,11.3,1
-8.4,-10.8,83.0,0.0,41.0,101.23,2.4,1
-9.4,-14.2,68.0,0.0,43.0,101.36,16.1,1
-10.1,-15.9,63.0,0.0,46.0,101.49,16.1,0
-10.0,-15.0,67.0,0.0,39.0,101.6,16.1,0
-9.9,-15.3,65.0,0.0,39.0,101.68,16.1,0
-9.5,-15.2,64.0,0.0,45.0,101.72,16.1,0
-9.5,-14.1,70.0,0.0,52.0,101.75,12.9,0
-9.1,-16.1,57.0,0.0,45.0,101.72,16.1,0
-9.3,-15.3,62.0,0.0,50.0,101.77,16.1,0
-9.7,-16.3,59.0,0.0,39.0,101.86,16.1,0
-10.2,-16.3,62.0,0.0,45.0,101.93,16.1,0
-10.9,-16.9,62.0,0.0,39.0,102.03,16.1,0
-11.2,-16.9,63.0,0.0,39.0,102.12,16.1,0
-11.6,-15.9,71.0,0.0,28.0,102.12,16.1,0
-11.7,-15.7,73.0,0.0,32.0,102.07,16.1,0
-11.7,-15.5,74.0,0.0,32.0,102.04,16.1,0
-11.7,-15.6,73.0,0.0,32.0,101.99,16.1,0
-11.7,-15.0,77.0,0.0,22.0,101.95,16.1,0
-11.5,-15.0,75.0,0.0,26.0,101.95,16.1,0
-11.6,-15.6,73.0,0.0,17.0,101.86,16.1,0
-11.3,-15.5,71.0,0.0,22.0,101.87,16.1,0
-11.4,-15.5,72.0,0.0,22.0,101.83,16.1,0
-11.0,-15.0,73.0,0.0,24.0,101.73,16.1,0
-10.8,-15.1,71.0,0.0,18.0,101.61,16.1,0
-10.7,-15.1,70.0,0.0,18.0,101.53,16.1,0
-10.5,-15.1,69.0,0.0,13.0,101.45,16.1,0
-10.0,-14.7,69.0,0.0,24.0,101.45,16.1,0
-9.9,-13.2,77.0,0.0,21.0,101.42,16.1,1
-9.8,-13.1,77.0,0.0,21.0,101.36,8.1,1
-8.3,-12.7,71.0,0.0,17.0,101.26,16.1,0
-7.5,-13.4,63.0,0.0,24.0,101.13,16.1,0
-7.7,-12.6,68.0,0.0,28.0,100.99,16.1,1
-7.9,-13.4,65.0,0.0,24.0,100.94,16.1,0
-8.0,-14.4,60.0,0.0,34.0,100.95,16.1,0
-7.7,-14.4,59.0,0.0,26.0,100.87,16.1,0
-7.8,-14.3,60.0,0.0,32.0,100.78,16.1,0
-8.3,-13.5,66.0,0.0,37.0,100.73,16.1,0
-8.6,-13.5,68.0,0.0,39.0,100.76,16.1,0
-8.1,-12.7,70.0,0.0,39.0,100.61,16.1,0
-8.0,-12.0,73.0,0.0,43.0,100.52,14.5,1
-7.9,-11.1,78.0,0.0,37.0,100.42,16.1,1
-8.0,-11.2,78.0,0.0,35.0,100.32,16.1,1
-8.0,-12.6,70.0,0.0,32.0,100.24,16.1,0
-8.2,-11.7,76.0,0.0,39.0,100.18,16.1,0
-8.3,-12.4,72.0,0.0,41.0,100.16,16.1,0
-8.3,-11.6,77.0,0.0,41.0,100.22,16.1,0
-9.2,-11.1,86.0,0.0,28.0,100.33,1.2,1
-10.0,-23.1,34.0,0.0,24.0,100.39,16.1,0
-11.5,-19.5,52.0,0.0,28.0,100.53,16.1,0
-13.2,-19.1,62.0,0.0,34.0,100.7,16.1,0
-15.3,-21.8,58.0,0.0,34.0,100.91,16.1,0
-16.0,-25.2,46.0,0.0,30.0,101.09,16.1,0
-15.9,-24.1,50.0,0.0,22.0,101.23,16.1,0
-15.6,-23.2,53.0,0.0,28.0,101.37,16.1,0
-15.5,-22.5,56.0,0.0,28.0,101.43,16.1,0
-14.7,-22.7,51.0,0.0,28.0,101.47,16.1,0
-15.0,-22.3,54.0,0.0,32.0,101.55,16.1,0
-15.3,-20.4,65.0,0.0,18.0,101.67,6.4,1
-15.8,-20.7,66.0,0.0,15.0,101.78,16.1,1
-16.7,-21.1,69.0,0.0,15.0,101.86,16.1,0
-16.7,-21.4,67.0,0.0,13.0,101.94,16.1,0
-16.7,-22.3,62.0,0.0,11.0,101.96,16.1,0
-16.3,-22.1,61.0,0.0,26.0,101.95,16.1,0
-16.4,-21.2,67.0,0.0,30.0,101.99,16.1,0
-15.4,-19.7,70.0,0.0,28.0,101.97,16.1,0
-14.8,-18.5,74.0,0.0,26.0,101.9,16.1,0
-14.3,-17.8,75.0,0.0,24.0,101.8,12.9,0
-12.8,-14.5,87.0,0.0,22.0,101.72,16.1,0
-13.2,-15.0,87.0,0.0,34.0,101.68,16.1,0
-11.8,-14.3,82.0,0.0,48.0,101.66,16.1,0
-11.6,-14.6,79.0,0.0,43.0,101.56,16.1,0
-12.1,-15.1,79.0,0.0,41.0,101.57,16.1,0
-12.1,-15.5,76.0,0.0,39.0,101.61,16.1,0
-12.2,-15.7,76.0,0.0,46.0,101.57,16.1,0
-11.2,-13.7,82.0,0.0,45.0,101.61,16.1,0
-11.3,-14.5,77.0,0.0,41.0,101.55,16.1,0
-10.5,-13.3,80.0,0.0,39.0,101.49,16.1,0
-9.9,-13.7,74.0,0.0,48.0,101.4,16.1,0
-9.9,-13.9,73.0,0.0,43.0,101.26,16.1,1
-9.5,-14.2,69.0,0.0,41.0,101.12,16.1,0
-8.5,-14.8,61.0,0.0,39.0,101.02,16.1,0
-8.4,-15.0,59.0,0.0,39.0,100.95,16.1,0
-7.7,-13.3,65.0,0.0,45.0,100.86,16.1,0
-8.5,-13.5,67.0,0.0,55.0,100.81,16.1,0
-8.2,-12.6,71.0,0.0,52.0,100.72,16.1,0
-7.4,-12.4,68.0,0.0,52.0,100.59,16.1,0
-7.5,-12.5,68.0,0.0,48.0,100.43,16.1,0
-7.7,-11.0,77.0,0.0,52.0,100.27,4.8,1
-7.2,-11.1,74.0,0.0,52.0,100.14,16.1,1
-7.2,-10.1,80.0,0.0,61.0,99.95,2.8,1
-6.9,-8.7,87.0,0.0,52.0,99.77,1.6,1
-7.6,-10.7,79.0,0.0,45.0,99.7,6.4,1
-7.9,-11.1,78.0,0.0,37.0,99.64,11.3,1
-8.0,-10.7,81.0,0.0,37.0,99.64,16.1,1
-7.5,-11.2,75.0,0.0,41.0,99.62,16.1,0
-7.3,-11.5,72.0,0.0,43.0,99.6,16.1,0
-7.2,-11.4,72.0,0.0,41.0,99.66,16.1,0
-7.5,-10.1,82.0,0.0,45.0,99.75,2.4,1
-8.6,-13.3,69.0,0.0,35.0,99.92,16.1,0
-8.3,-12.1,74.0,0.0,39.0,100.05,16.1,0
-7.2,-11.3,73.0,0.0,43.0,100.17,16.1,0
-5.7,-10.4,69.0,0.0,37.0,100.21,16.1,0
-5.0,-11.0,63.0,0.0,54.0,100.23,16.1,0
-6.2,-9.0,81.0,0.0,39.0,100.3,8.1,1
-7.0,-9.7,81.0,0.0,28.0,100.39,4.8,1
-5.9,-13.0,57.0,0.0,45.0,100.5,16.1,1
-6.8,-13.2,61.0,0.0,48.0,100.62,16.1,0
-7.8,-13.1,66.0,0.0,48.0,100.72,16.1,0
-8.3,-14.5,61.0,0.0,41.0,100.82,16.1,0
-9.0,-13.3,72.0,0.0,37.0,100.93,16.1,0
-9.2,-14.5,66.0,0.0,41.0,100.98,16.1,0
-9.5,-13.6,72.0,0.0,35.0,101.07,16.1,0
-10.0,-14.9,68.0,0.0,45.0,101.14,16.1,0
-10.8,-14.7,73.0,0.0,43.0,101.19,16.1,0
-11.2,-15.0,74.0,0.0,39.0,101.24,16.1,0
-11.8,-16.0,71.0,0.0,39.0,101.29,16.1,0
-12.3,-16.2,73.0,0.0,41.0,101.37,16.1,0
-12.4,-15.8,76.0,0.0,41.0,101.46,16.1,0
-12.1,-15.2,78.0,0.0,48.0,101.53,16.1,0
-12.8,-16.0,77.0,0.0,46.0,101.58,16.1,0
-13.1,-16.1,79.0,0.0,37.0,101.65,16.1,0
-13.2,-16.2,79.0,0.0,45.0,101.71,16.1,0
-13.1,-15.8,80.0,0.0,45.0,101.79,16.1,0
-12.9,-16.2,77.0,0.0,45.0,101.92,16.1,0
-12.2,-16.5,71.0,0.0,34.0,101.99,16.1,0
-10.9,-15.8,67.0,0.0,34.0,101.98,16.1,0
-9.9,-15.6,64.0,0.0,48.0,101.92,16.1,0
-9.1,-15.1,62.0,0.0,54.0,101.81,16.1,0
-8.6,-14.4,63.0,0.0,45.0,101.77,16.1,0
-8.6,-15.2,59.0,0.0,43.0,101.77,16.1,0
-8.9,-14.9,62.0,0.0,34.0,101.76,16.1,0
-8.7,-14.1,65.0,0.0,43.0,101.79,16.1,0
-9.2,-13.2,73.0,0.0,39.0,101.91,16.1,0
-9.9,-15.2,66.0,0.0,45.0,101.94,16.1,0
-10.0,-15.0,67.0,0.0,39.0,101.97,16.1,0
-10.4,-15.6,66.0,0.0,30.0,102.03,16.1,0
-10.4,-15.6,66.0,0.0,34.0,102.04,16.1,0
-10.4,-16.0,64.0,0.0,24.0,102.1,16.1,0
-9.8,-14.6,68.0,0.0,22.0,102.05,16.1,0
-8.6,-12.9,71.0,0.0,21.0,102.03,16.1,0
-7.6,-11.8,72.0,0.0,30.0,102.06,16.1,0
-6.9,-12.4,65.0,0.0,30.0,102.04,16.1,0
-6.5,-11.7,67.0,0.0,28.0,102.02,16.1,0
-6.2,-10.2,73.0,0.0,24.0,101.96,16.1,1
-5.9,-9.4,77.0,0.0,18.0,101.93,16.1,0
-3.7,-8.3,71.0,0.0,34.0,101.9,16.1,0
-3.0,-8.6,66.0,0.0,35.0,101.9,16.1,0
-2.7,-9.1,62.0,0.0,39.0,101.91,16.1,0
-2.7,-9.2,61.0,0.0,37.0,101.95,16.1,0
-2.1,-8.7,61.0,0.0,34.0,101.93,16.1,0
-1.6,-8.1,61.0,0.0,26.0,101.81,16.1,0
-0.6,-7.6,59.0,0.0,24.0,101.72,16.1,0
0.5,-7.6,55.0,0.0,24.0,101.72,16.1,0
-0.3,-6.5,63.0,0.0,26.0,101.7,16.1,0
-0.3,-6.0,66.0,0.0,30.0,101.72,16.1,0
-0.5,-6.5,64.0,0.0,34.0,101.77,16.1,0
-0.4,-6.4,64.0,0.0,34.0,101.79,16.1,0
-0.4,-6.4,64.0,0.0,32.0,101.73,16.1,0
0.1,-6.8,60.0,0.0,35.0,101.7,16.1,0
0.2,-6.7,60.0,0.0,28.0,101.68,16.1,0
0.3,-6.5,61.0,0.0,24.0,101.62,16.1,0
0.5,-6.6,59.0,0.0,24.0,101.6,16.1,0
-0.2,-4.3,74.0,0.0,34.0,101.57,14.5,0
-1.3,-2.4,92.0,0.0,21.0,101.55,4.0,1
-0.9,-3.0,86.0,0.0,24.0,101.48,16.1,1
-0.8,-2.9,86.0,0.0,22.0,101.47,12.9,1
-1.1,-2.8,88.0,0.0,21.0,101.4,16.1,1
-1.2,-2.9,88.0,0.0,21.0,101.38,16.1,1
-1.4,-2.5,92.0,0.0,21.0,101.39,2.8,1
-1.6,-2.6,93.0,0.0,17.0,101.34,2.8,1
-1.4,-2.7,91.0,0.0,17.0,101.37,11.3,1
-1.4,-2.4,93.0,0.0,15.0,101.43,1.6,1
-1.3,-2.1,94.0,0.0,11.0,101.45,2.4,1
-0.7,-2.6,87.0,0.0,11.0,101.46,8.1,3
-0.1,-2.9,82.0,0.0,13.0,101.42,9.7,4
0.0,-2.3,84.0,0.0,11.0,101.39,4.8,1
-0.9,-4.4,77.0,0.2,22.0,101.43,16.1,1
-1.8,-6.6,70.0,0.0,28.0,101.53,16.1,1
-2.2,-8.6,62.0,0.0,22.0,101.64,16.1,0
-3.7,-9.7,63.0,0.0,22.0,101.83,16.1,0
-4.6,-10.6,63.0,0.0,30.0,102.02,16.1,0
-6.0,-12.4,61.0,0.0,30.0,102.14,16.1,0
-7.6,-12.5,68.0,0.0,28.0,102.31,16.1,0
-8.9,-14.9,62.0,0.0,28.0,102.42,16.1,0
-10.3,-15.8,65.0,0.0,24.0,102.53,16.1,0
-12.2,-16.9,69.0,0.0,11.0,102.63,16.1,0
-13.9,-19.5,63.0,0.0,21.0,102.75,16.1,0
-15.2,-20.1,67.0,0.0,15.0,102.86,16.1,0
-16.3,-21.8,63.0,0.0,21.0,102.93,16.1,0
-17.2,-23.0,61.0,0.0,21.0,103.07,16.1,0
-17.6,-23.1,63.0,0.0,9.0,103.14,16.1,0
-18.0,-23.8,61.0,0.0,17.0,103.19,16.1,0
-18.4,-23.8,63.0,0.0,13.0,103.29,16.1,0
-18.4,-23.8,63.0,0.0,9.0,103.39,16.1,0
-18.3,-24.3,60.0,0.0,11.0,103.46,16.1,0
-17.2,-22.6,63.0,0.0,8.0,103.49,16.1,0
-15.8,-21.3,63.0,0.0,13.0,103.48,16.1,0
-14.9,-20.3,64.0,0.0,13.0,103.46,16.1,0
-13.2,-18.0,68.0,0.0,11.0,103.36,16.1,0
-11.9,-16.2,71.0,0.0,13.0,103.28,16.1,0
-11.0,-15.6,69.0,0.0,15.0,103.2,16.1,0
-10.8,-15.3,70.0,0.0,17.0,103.14,16.1,0
-11.1,-14.8,75.0,0.0,17.0,103.11,16.1,1
-11.3,-15.6,71.0,0.0,15.0,103.09,16.1,1
-10.9,-14.8,73.0,0.0,15.0,103.05,12.9,1
-10.7,-14.0,77.0,0.0,17.0,102.99,8.1,1
-10.4,-13.7,77.0,0.0,9.0,102.91,16.1,1
-9.7,-12.9,77.0,0.0,13.0,102.84,16.1,1
-10.2,-13.3,78.0,0.0,11.0,102.77,16.1,1
-11.0,-13.9,80.0,0.0,15.0,102.68,16.1,0
-10.1,-13.0,80.0,0.0,17.0,102.55,16.1,0
-10.5,-13.0,82.0,0.0,15.0,102.41,16.1,0
-9.6,-12.1,82.0,0.0,17.0,102.32,16.1,0
-7.4,-10.2,81.0,0.0,21.0,102.26,16.1,0
-8.1,-11.2,79.0,0.0,22.0,102.15,16.1,0
-7.9,-13.7,64.0,0.0,15.0,102.05,16.1,0
-8.2,-13.3,67.0,0.0,15.0,101.97,16.1,0
-8.7,-12.7,73.0,0.0,9.0,101.89,16.1,0
-9.0,-12.8,74.0,0.0,8.0,101.85,16.1,0
-8.3,-12.2,74.0,0.0,5.0,101.82,16.1,0
-7.0,-11.8,69.0,0.0,4.0,101.78,16.1,0
-6.3,-10.4,73.0,0.0,5.0,101.73,16.1,0
-5.9,-10.0,73.0,0.0,11.0,101.64,16.1,0
-4.8,-10.5,65.0,0.0,15.0,101.56,16.1,0
-3.9,-11.8,55.0,0.0,11.0,101.53,16.1,0
-3.6,-12.1,52.0,0.0,11.0,101.5,16.1,0
-3.8,-14.2,45.0,0.0,4.0,101.49,16.1,0
-4.8,-14.0,49.0,0.0,11.0,101.47,16.1,0
-5.3,-13.2,54.0,0.0,11.0,101.49,16.1,0
-5.9,-12.0,62.0,0.0,22.0,101.48,16.1,0
-6.9,-12.2,66.0,0.0,18.0,101.51,16.1,0
-8.0,-12.6,70.0,0.0,13.0,101.49,16.1,0
-8.4,-12.3,74.0,0.0,18.0,101.46,16.1,0
-9.3,-12.8,76.0,0.0,18.0,101.47,16.1,0
-10.1,-13.1,79.0,0.0,15.0,101.48,16.1,0
-10.8,-13.8,79.0,0.0,11.0,101.45,16.1,0
-10.5,-13.3,80.0,0.0,11.0,101.41,16.1,0
-10.1,-12.7,81.0,0.0,17.0,101.37,16.1,0
-9.8,-12.3,82.0,0.0,21.0,101.3,16.1,0
-9.1,-12.1,79.0,0.0,13.0,101.2,16.1,0
-8.7,-12.2,76.0,0.0,21.0,101.15,16.1,0
-9.1,-13.1,73.0,0.0,22.0,101.14,16.1,0
-9.2,-12.0,80.0,0.0,21.0,101.07,16.1,0
-8.6,-10.8,85.0,0.0,30.0,101.04,16.1,0
-6.8,-10.1,78.0,0.0,28.0,100.92,16.1,0
-6.8,-10.0,78.0,0.0,26.0,100.8,16.1,0
-5.7,-9.9,73.0,0.0,26.0,100.67,16.1,0
-4.7,-9.7,68.0,0.0,26.0,100.52,16.1,0
-4.3,-10.0,65.0,0.0,34.0,100.43,16.1,0
-4.1,-9.8,65.0,0.0,34.0,100.35,16.1,0
-4.0,-9.1,68.0,0.0,43.0,100.29,16.1,1
-4.1,-8.2,73.0,0.0,43.0,100.25,16.1,0
-3.8,-8.0,73.0,0.0,39.0,100.15,16.1,0
-3.1,-6.9,75.0,0.0,35.0,100.1,16.1,1
-2.4,-6.2,75.0,0.0,30.0,100.02,16.1,1
-2.4,-5.5,80.0,0.0,37.0,99.94,16.1,0
-2.1,-5.6,77.0,0.0,43.0,99.92,16.1,0
-1.9,-5.1,79.0,0.0,35.0,99.9,16.1,0
-1.7,-4.4,82.0,0.0,34.0,99.83,12.9,0
-1.6,-4.2,83.0,0.0,35.0,99.82,11.3,0
-1.2,-3.7,83.0,0.0,39.0,99.84,11.3,0
-1.4,-3.1,88.0,0.0,24.0,99.9,4.0,1
-1.4,-4.0,83.0,0.0,21.0,99.97,4.0,1
-2.9,-7.4,71.0,0.0,17.0,100.14,16.1,1
-3.7,-10.1,61.0,0.0,32.0,100.3,16.1,0
-5.2,-13.1,54.0,0.0,34.0,100.46,16.1,0
-6.0,-14.6,51.0,0.0,34.0,100.64,16.1,0
-7.0,-13.4,61.0,0.0,24.0,100.86,16.1,0
-7.3,-15.2,54.0,0.0,21.0,100.98,16.1,0
-7.5,-15.0,56.0,0.0,26.0,101.03,16.1,0
-7.0,-15.3,52.0,0.0,17.0,101.08,16.1,0
-7.5,-15.9,51.0,0.0,22.0,101.13,16.1,0
-7.6,-16.2,51.0,0.0,30.0,101.17,16.1,0
-8.0,-15.7,54.0,0.0,22.0,101.31,16.1,0
-8.9,-16.2,56.0,0.0,15.0,101.42,16.1,0
-9.4,-16.0,59.0,0.0,18.0,101.52,16.1,0
-9.8,-15.6,63.0,0.0,17.0,101.59,16.1,0
-10.3,-15.5,66.0,0.0,11.0,101.66,16.1,0
-10.5,-15.2,69.0,0.0,9.0,101.68,16.1,0
-11.0,-15.3,71.0,0.0,8.0,101.73,16.1,0
-11.2,-16.9,63.0,0.0,8.0,101.75,16.1,0
-11.3,-15.6,71.0,0.0,0.0,101.73,16.1,0
-12.2,-15.6,76.0,0.0,11.0,101.78,16.1,0
-13.0,-17.2,71.0,0.0,18.0,101.75,16.1,0
-12.8,-17.5,68.0,0.0,17.0,101.8,16.1,0
-12.3,-16.0,74.0,0.0,17.0,101.75,16.1,1
-12.0,-14.8,80.0,0.0,24.0,101.67,14.5,1
-10.6,-12.4,87.0,0.0,17.0,101.65,8.1,1
-8.1,-10.8,81.0,0.0,21.0,101.6,14.5,1
-8.3,-12.0,75.0,0.0,17.0,101.5,16.1,1
-7.8,-11.8,73.0,0.0,21.0,101.45,16.1,0
-6.5,-12.1,65.0,0.0,24.0,101.35,16.1,0
-6.2,-11.2,68.0,0.0,21.0,101.26,16.1,0
-5.9,-10.8,69.0,0.0,17.0,101.0,16.1,0
-5.1,-10.5,66.0,0.0,15.0,100.79,16.1,0
-4.1,-9.0,69.0,0.0,13.0,100.6,16.1,0
-2.7,-7.7,69.0,0.0,17.0,100.46,16.1,0
-2.1,-7.1,69.0,0.0,18.0,100.34,16.1,0
-2.0,-6.0,74.0,0.0,17.0,100.17,16.1,0
-1.0,-5.1,74.0,0.0,26.0,99.98,16.1,0
-1.3,-4.4,80.0,0.0,15.0,99.96,16.1,0
-1.4,-3.8,84.0,0.0,15.0,99.84,16.1,0
-1.5,-3.6,86.0,0.0,9.0,99.74,16.1,0
2.1,-0.3,84.0,0.0,9.0,99.71,16.1,0
2.5,-0.1,83.0,0.0,11.0,99.63,16.1,0
3.3,0.6,83.0,0.0,11.0,99.54,16.1,0
4.5,0.2,74.0,0.0,26.0,99.47,16.1,0
4.4,0.2,74.0,0.0,22.0,99.43,16.1,0
4.5,0.1,73.0,0.0,30.0,99.4,16.1,0
4.3,0.5,76.0,0.0,22.0,99.36,16.1,0
4.4,0.6,76.0,0.0,24.0,99.36,16.1,0
4.0,0.5,78.0,0.0,24.0,99.38,16.1,0
4.1,1.1,81.0,0.0,26.0,99.45,16.1,5
3.1,1.5,89.0,0.0,18.0,99.5,16.1,5
2.9,1.7,92.0,0.2,28.0,99.57,14.5,5
2.8,1.8,93.0,0.0,17.0,99.63,11.3,0
3.0,1.7,91.0,0.0,13.0,99.6,12.9,0
2.9,1.4,90.0,0.0,21.0,99.55,16.1,0
3.2,1.7,90.0,0.0,15.0,99.48,16.1,0
3.1,1.5,89.0,0.0,18.0,99.5,16.1,0
3.2,1.6,89.0,0.0,21.0,99.54,16.1,0
2.8,1.5,91.0,0.0,18.0,99.57,16.1,0
2.5,1.3,92.0,0.0,18.0,99.63,16.1,0
2.5,1.2,91.0,0.0,21.0,99.68,16.1,5
2.1,0.9,92.0,0.2,21.0,99.74,11.3,5
1.9,0.9,93.0,0.0,18.0,99.75,14.5,5
1.8,-0.2,87.0,0.2,18.0,99.79,16.1,5
1.4,-0.5,87.0,0.0,15.0,99.85,16.1,0
1.6,-1.5,80.0,0.0,18.0,99.9,16.1,0
0.8,-3.0,76.0,0.0,17.0,99.94,16.1,0
0.9,-2.9,76.0,0.0,22.0,99.95,16.1,0
1.0,-3.0,75.0,0.0,22.0,100.03,16.1,0
0.7,-3.8,72.0,0.0,32.0,100.05,16.1,0
0.3,-3.7,75.0,0.0,30.0,100.07,16.1,0
